N,topology,strategy_names,V,C,gamma,gamma_label,noise_p,status,advantage,q_is_nash,symmetric,q_payoff_per_player,classical_ne_payoff,advantage_vector,q_payoff_vector,strategy_mode,strategy_params,strategy_nash_gap,strategy_is_nash,message
3,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.005,ok,0.897867819785084,True,False,1.3122972466536147,0.4144294268685306,"[0.9035231196619673, 0.9035231196619673, 0.8865572200313173]","[1.3103339241087193, 1.3103339241087193, 1.316223891743405]",fixed,,,,
3,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.01,ok,0.8057894599873989,True,False,1.2939704114024335,0.4881809514150346,"[0.8160189234320477, 0.8160189234320478, 0.7853305330981007]","[1.2902741551534367, 1.2902741551534367, 1.301362923900427]",fixed,,,,
3,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.015,ok,0.7228121894677579,True,False,1.2780498348133198,0.5552376453455619,"[0.7366829674350415, 0.7366829674350419, 0.6950706335331902]","[1.2728364676979262, 1.2728364676979267, 1.2884765690441062]",fixed,,,,
3,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.02,ok,0.6480700773103086,True,False,1.2642632129126776,0.616193135602369,"[0.6647803525296221, 0.6647803525296225, 0.6146495268716813]","[1.2577339804023966, 1.2577339804023968, 1.2773216779332397]",fixed,,,,
3,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.025,ok,0.5807764001873257,True,False,1.2523660642569925,0.6715896640696668,"[0.5996399239429254, 0.5996399239429254, 0.5430493526761262]","[1.2447077781467375, 1.2447077781467375, 1.2676826364775025]",fixed,,,,
3,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.03,ok,0.5202166864532894,True,False,1.242139112568414,0.7219224261151246,"[0.5406489379415033, 0.5406489379415037, 0.4793521834768616]","[1.233524422223131, 1.2335244222231312, 1.25936849325898]",fixed,,,,
3,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.035,ok,0.4657423458562392,True,False,1.2333858981064119,0.7676435522501727,"[0.4872481592151422, 0.4872481592151423, 0.42273071913843274]","[1.2239736651656434, 1.2239736651656434, 1.2522103639879485]",fixed,,,,
3,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.04,ok,0.4167648376752535,True,False,1.2259305991380238,0.8091657614627703,"[0.43892735537947336, 0.43892735537947347, 0.37243980226681417]","[1.2158663546284192, 1.2158663546284192, 1.2460590881572335]",fixed,,,,
3,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.045,ok,0.37275033372603616,False,False,1.2196160462850834,0.8468657125590472,"[0.39522115753389064, 0.39522115753389053, 0.32780868611032743]","[1.2090325118235434, 1.2090325118235432, 1.2407831152081634]",fixed,,,,
3,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.05,ok,0.3332148360438647,False,False,1.2143019138440287,0.881087077800164,"[0.35570525815872045, 0.35570525815872034, 0.28823399181415366]","[1.2033195710590696, 1.2033195710590694, 1.2362665994139477]",fixed,,,,
3,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.0,ok,0.5000000000000003,False,True,1.333333333333334,0.8333333333333336,"[0.5000000000000003, 0.5000000000000002, 0.4999999999999998]","[1.333333333333334, 1.333333333333334, 1.3333333333333335]",fixed,,,,
3,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.005,ok,0.392225462296765,False,False,1.3199620318615968,0.9277365695648317,"[0.3498952294848877, 0.41756727259603843, 0.4092138848093687]","[1.3241003372726785, 1.3166709443572302, 1.3191148139548816]",fixed,,,,
3,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.01,ok,0.3082231894385551,False,False,1.3063156181635387,0.9980924287249836,"[0.24642946639581287, 0.345186507877838, 0.33305359404201407]","[1.3144879888895653, 1.3004955513030867, 1.3039633142979639]",fixed,,,,
3,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.015,ok,0.24258028873035942,False,False,1.2931800879994182,1.0505997992690588,"[0.1750802308798467, 0.28291691778830463, 0.2697437175229269]","[1.3047068671403783, 1.285572798942713, 1.2892605979151628]",fixed,,,,
3,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.02,ok,0.19116797913585848,False,False,1.281008657415834,1.0898406782799754,"[0.12580137109095868, 0.2301880158837475, 0.21751455043286927]","[1.295000791155128, 1.2722709464680075, 1.2757542346243664]",fixed,,,,
3,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.025,ok,0.1508218420680809,False,False,1.2700285609452537,1.1192067188771728,"[0.09166071184141966, 0.18610051616266965, 0.17470429820015343]","[1.2855912369249591, 1.2607063001272887, 1.263788145783513]",fixed,,,,
3,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.03,ok,0.11910587269095885,False,False,1.2603179510226072,1.1412120783316484,"[0.06788761514830766, 0.149619671229702, 0.13981033169486756]","[1.2766539451232397, 1.25084236143637, 1.2534575465082123]",fixed,,,,
3,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.035,ok,0.09413729665978043,False,False,1.2518604407719434,1.157723144112163,"[0.05120823837493016, 0.11969483874290154, 0.11150881286150915]","[1.2683132970659345, 1.2425563103294581, 1.2447117149204372]",fixed,,,,
3,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.04,ok,0.07445569947970432,False,False,1.2445831349935268,1.1701274355138225,"[0.03938246036369053, 0.09532928329005563, 0.08865535478536701]","[1.2606457714925892, 1.2356826365744762, 1.237420996913515]",fixed,,,,
3,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.045,ok,0.05892466506633598,False,False,1.2383826157805202,1.1794579507141842,"[0.030881974436633985, 0.07561709203408551, 0.070274928728288]","[1.2536873995907678, 1.2300409516259752, 1.2314194961248173]",fixed,,,,
3,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.05,ok,0.04665741334531992,False,False,1.2331422529998781,1.1864848396545582,"[0.024667043923585652, 0.059758931492442935, 0.05554626461993073]","[1.247442367227555, 1.2254529884560368, 1.2265314033160424]",fixed,,,,
3,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.0,ok,1.0000000000000007,True,True,1.333333333333334,0.3333333333333333,"[1.0000000000000007, 1.0000000000000007, 1.0000000000000007]","[1.333333333333334, 1.333333333333334, 1.333333333333334]",fixed,,,,
